fila_bronze,clave_lectura,tipo_duplicado,decision_duplicado,fila_canonica,justificacion_duplicado,camion_id_preparado
28900,VIA-01024|2026-08-16 15:14:00,IDENTICO,COPIA_EXCLUIDA,24558,Las diez columnas originales son idénticas,CAM-18
24620,VIA-01026|2026-08-29 21:55:00,IDENTICO,CANONICA,24620,Las diez columnas originales son idénticas,CAM-05
28891,VIA-01026|2026-08-29 21:55:00,IDENTICO,COPIA_EXCLUIDA,24620,Las diez columnas originales son idénticas,CAM-05
24665,VIA-01028|2026-08-14 07:08:00,IDENTICO,CANONICA,24665,Las diez columnas originales son idénticas,CAM-05
28864,VIA-01028|2026-08-14 07:08:00,IDENTICO,COPIA_EXCLUIDA,24665,Las diez columnas originales son idénticas,CAM-05
24845,VIA-01036|2026-08-19 03:14:00,IDENTICO,CANONICA,24845,Las diez columnas originales son idénticas,CAM-27
28903,VIA-01036|2026-08-19 03:14:00,IDENTICO,COPIA_EXCLUIDA,24845,Las diez columnas originales son idénticas,CAM-27
24848,VIA-01036|2026-08-19 04:44:00,IDENTICO,CANONICA,24848,Las diez columnas originales son idénticas,CAM-27
28809,VIA-01036|2026-08-19 04:44:00,IDENTICO,COPIA_EXCLUIDA,24848,Las diez columnas originales son idénticas,CAM-27
25336,VIA-01056|2026-08-04 08:35:00,IDENTICO,CANONICA,25336,Las diez columnas originales son idénticas,CAM-10
28865,VIA-01056|2026-08-04 08:35:00,IDENTICO,COPIA_EXCLUIDA,25336,Las diez columnas originales son idénticas,CAM-10
25521,VIA-01064|2026-08-22 01:50:00,IDENTICO,CANONICA,25521,Las diez columnas originales son idénticas,CAM-05
28914,VIA-01064|2026-08-22 01:50:00,IDENTICO,COPIA_EXCLUIDA,25521,Las diez columnas originales son idénticas,CAM-05
25661,VIA-01070|2026-08-19 13:59:00,IDENTICO,CANONICA,25661,Las diez columnas originales son idénticas,CAM-20
28830,VIA-01070|2026-08-19 13:59:00,IDENTICO,COPIA_EXCLUIDA,25661,Las diez columnas originales son idénticas,CAM-20
26092,VIA-01088|2026-08-24 02:10:00,IDENTICO,CANONICA,26092,Las diez columnas originales son idénticas,CAM-26
28876,VIA-01088|2026-08-24 02:10:00,IDENTICO,COPIA_EXCLUIDA,26092,Las diez columnas originales son idénticas,CAM-26
27494,VIA-01146|2026-08-10 18:49:00,IDENTICO,CANONICA,27494,Las diez columnas originales son idénticas,CAM-28
28835,VIA-01146|2026-08-10 18:49:00,IDENTICO,COPIA_EXCLUIDA,27494,Las diez columnas originales son idénticas,CAM-28
27977,VIA-01166|2026-08-29 17:48:00,IDENTICO,CANONICA,27977,Las diez columnas originales son idénticas,CAM-12
28855,VIA-01166|2026-08-29 17:48:00,IDENTICO,COPIA_EXCLUIDA,27977,Las diez columnas originales son idénticas,CAM-12
28128,VIA-01172|2026-08-05 03:00:00,IDENTICO,CANONICA,28128,Las diez columnas originales son idénticas,CAM-09
28810,VIA-01172|2026-08-05 03:00:00,IDENTICO,COPIA_EXCLUIDA,28128,Las diez columnas originales son idénticas,CAM-09
28351,VIA-01182|2026-08-29 04:46:00,IDENTICO,CANONICA,28351,Las diez columnas originales son idénticas,CAM-01
28851,VIA-01182|2026-08-29 04:46:00,IDENTICO,COPIA_EXCLUIDA,28351,Las diez columnas originales son idénticas,CAM-01
28415,VIA-01184|2026-08-12 23:47:00,IDENTICO,CANONICA,28415,Las diez columnas originales son idénticas,CAM-05
28889,VIA-01184|2026-08-12 23:47:00,IDENTICO,COPIA_EXCLUIDA,28415,Las diez columnas originales son idénticas,CAM-05
