fila_bronze,rule_id,dimension_calidad,severidad,accion,tipo_problema,columna_afectada,codigo_error,valor_original,detalle,version_catalogo,version_diagnostico
8389,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
8551,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
8559,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
8696,IOT-R002,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FECHA_INVALIDA,2026-02-31 09:15:00,Formato incorrecto o fecha imposible,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
8860,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
9088,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
9173,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-26 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
9200,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-06 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
9215,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
9333,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
9382,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
9412,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
9456,IOT-R002,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FECHA_INVALIDA,2026-02-31 09:15:00,Formato incorrecto o fecha imposible,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
9525,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
9735,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
9741,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-20 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
9800,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
9816,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-28 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
9968,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10021,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10080,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10093,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10123,IOT-R002,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FECHA_INVALIDA,2026-02-31 09:15:00,Formato incorrecto o fecha imposible,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10123,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10164,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10240,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10284,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10286,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10287,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-24 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10309,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10372,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10385,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10404,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10511,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10589,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10599,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10687,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10714,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
10945,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11002,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11158,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11185,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11242,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11257,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11359,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11375,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11385,IOT-R012,UNICIDAD,CRITICAL,CUARENTENA,UNICIDAD,,CLAVE_EN_CONFLICTO,VIA-00475 + 2026-08-27 19:42:00,Lecturas diferentes con igual clave candidata; se marcan todas,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11387,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11464,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11594,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11739,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-22 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11771,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-25 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11804,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11822,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11926,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11951,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
11957,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
12053,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
12097,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
12198,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
12450,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
12522,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-08 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
12678,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
12695,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
12757,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
12771,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
12774,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
12917,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
12964,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13016,IOT-R012,UNICIDAD,CRITICAL,CUARENTENA,UNICIDAD,,CLAVE_EN_CONFLICTO,VIA-00543 + 2026-08-28 23:01:00,Lecturas diferentes con igual clave candidata; se marcan todas,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13029,IOT-R002,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FECHA_INVALIDA,2026-02-31 09:15:00,Formato incorrecto o fecha imposible,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13055,IOT-R021,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,FUERA_RANGO,-52.1,Humedad fuera de 0 a 100%,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13112,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13130,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13192,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13298,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13440,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13448,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13586,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13625,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13692,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13803,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13824,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13903,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
13990,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
14008,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
14105,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
14165,IOT-R002,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FECHA_INVALIDA,2026-02-31 09:15:00,Formato incorrecto o fecha imposible,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
14308,IOT-R021,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,FUERA_RANGO,-52.3,Humedad fuera de 0 a 100%,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
14376,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
14414,IOT-R002,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FECHA_INVALIDA,2026-02-31 09:15:00,Formato incorrecto o fecha imposible,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
14488,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
14718,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
14740,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
14774,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-06 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
14791,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
14863,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
14961,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-10 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
15013,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
15039,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
15077,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-28 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
15141,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-15 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
15244,IOT-R002,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FECHA_INVALIDA,2026-02-31 09:15:00,Formato incorrecto o fecha imposible,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
15325,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-26 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
15366,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-26 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
15501,IOT-R021,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,FUERA_RANGO,-87.9,Humedad fuera de 0 a 100%,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
15737,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
15780,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
15825,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
15940,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
15968,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16079,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16092,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16209,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16284,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16388,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16427,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16432,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16469,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16488,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16543,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16576,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16664,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-21 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16707,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16752,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16767,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16804,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
16967,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
17017,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
17109,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
17151,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
17181,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
17248,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
17370,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-08 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
17374,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
17534,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
17593,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
17705,IOT-R021,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,FUERA_RANGO,-55.9,Humedad fuera de 0 a 100%,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
